,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day
604,55D2EE917A8B09124C74008264C09A53,D6CAC68B91A32F493FD915329C5951F3,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:56:00,5,660,4.18,-73.98687,40.747707,-73.965752,40.793163,4,Sunday
605,2A2A95C293FCEA281B5E9A82D3177804,363205589C4D39EA7166FCEC37538E04,VTS,1,,2013-01-13 04:48:00,2013-01-13 04:56:00,6,480,2.69,-73.988747,40.718884,-73.970047,40.751315999999996,4,Sunday
606,8F411580D33665E25CAAD79E0F29AB56,9663056191AD83FC9EA65F563057210E,VTS,1,,2013-01-13 04:46:00,2013-01-13 04:56:00,2,600,4.11,-73.986046,40.726425,-73.95166,40.77702,4,Sunday
607,B26A46CBFB999DE7D2C9EBDDB443C103,7BFA8943DE9A0F30B2E26A5172449BE1,VTS,1,,2013-01-13 04:41:00,2013-01-13 04:55:00,1,840,9.85,-73.95695500000001,40.762421,-73.861366,40.767506,4,Sunday
608,2636E82376FA38D5D6D7844E01C26DD1,9C581C0F3683ABB9EA004144E93ABFF1,VTS,1,,2013-01-13 04:56:00,2013-01-13 04:58:00,1,120,0.59,-74.00670600000001,40.743465,-73.999107,40.739326,4,Sunday
609,F904D84CF7E2180E2CCD0DD007C3256C,44BCD85384B0E8E7A0E6BD59EA1AF29C,VTS,1,,2013-01-13 04:53:00,2013-01-13 04:58:00,2,300,1.92,-73.979439,40.784378000000004,-73.986786,40.766296000000004,4,Sunday
610,77E20B11A5C1BC89FD2DF082F2490FF6,016F42C9FF81459FC333817967CA8CDD,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:56:00,1,840,4.13,-74.00032,40.729984,-73.95311,40.695029999999996,4,Sunday
611,4B60321AF8B7EE4ECAE09222711228D7,C95686699914AD2534F6A2EC9FEEE29C,VTS,1,,2013-01-13 04:36:00,2013-01-13 05:00:00,1,1440,8.61,-73.88426199999999,40.747471000000004,-73.913467,40.838776,4,Sunday
612,3CCA3C193B9038B883CD9316FE4828E7,18688489B8A855239C531198962DFBEE,VTS,1,,2013-01-13 04:35:00,2013-01-13 04:58:00,5,1380,6.61,-73.999275,40.761364,-73.96389,40.693729,4,Sunday
613,8E64A30514DAC9AB727CE9FDBC28666F,56A8AAA9146D3289B9B936E3BE6B2238,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:54:00,6,960,5.76,-74.005051,40.741066,-73.948006,40.787056,4,Sunday
614,25D71611AACF7A55300590B7DFCA9E6A,4A913C5964F0F0C1D9049F2F57856C07,VTS,1,,2013-01-13 04:21:00,2013-01-13 04:34:00,6,780,6.48,-73.782013,40.644753,-73.812439,40.709334999999996,4,Sunday
615,582CAF46446FA03320E5178E7BEC1E86,91F65A1F1F1565EC719E37045C47BED6,VTS,1,,2013-01-13 04:34:00,2013-01-13 04:37:00,1,180,0.19,-73.99960300000001,40.731049,-74.001015,40.731644,4,Sunday
616,1CA1F43CA75E2744B36B98B233D301FC,CA54FEB44F424C224775A00990D59CCE,VTS,1,,2013-01-13 04:23:00,2013-01-13 04:37:00,1,840,7.14,-73.957787,40.717796,-73.91583299999999,40.772053,4,Sunday
617,985260DD4A27139AFB51130027DE5F60,2CC21B1333323BCBDB5D59F1A6F67C7F,VTS,1,,2013-01-13 04:23:00,2013-01-13 04:37:00,1,840,5.11,-74.002892,40.733299,-73.952927,40.783306,4,Sunday
618,15F3F6ED742E9F6033B49833DCF74161,94BF84658B07C1B97CB0D2E9D0FFB145,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:38:00,1,360,1.43,-73.996849,40.723026000000004,-74.004021,40.733437,4,Sunday
619,88526901E19F9EE8513453888BD97943,B7D010B8F3FBF8AC760C1D8872FC457D,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:40:00,4,480,1.7,-73.99760400000001,40.763863,-73.988991,40.748295,4,Sunday
620,1761D5F04D0DD9DA436CF83B7BF0F387,0F61361BDC0DF16CF194FB33EE22622E,VTS,1,,2013-01-13 04:30:00,2013-01-13 04:39:00,1,540,3.05,-73.980385,40.759781,-73.968147,40.793106,4,Sunday
621,80497F6496CD74E2F738C15EA6D33BCE,C39047D952BD8F39BE29BC0169D459BE,VTS,1,,2013-01-13 04:30:00,2013-01-13 04:36:00,1,360,1.1,-73.97879,40.724136,-73.993111,40.723057,4,Sunday
623,365544F93701F53EA1EF36A9BF3DD677,4EF12439F3504CB04DD5596029DD428C,VTS,1,,2013-01-13 04:20:00,2013-01-13 04:43:00,2,1380,5.78,-73.992134,40.755379,-73.943268,40.820904,4,Sunday
624,41410577B81EBF63D371BD07D3092DF9,BA1BFC2777518398765F4EC4C49CEAC6,VTS,1,,2013-01-13 04:19:00,2013-01-13 04:44:00,5,1500,7.89,-73.99812299999999,40.740509,-73.906914,40.774322999999995,4,Sunday
625,0081EFFCBB2AD30F9D85B3A07F5EAB45,4D42F0EB603CC39CCD21473A14FB5E6E,VTS,1,,2013-01-13 04:37:00,2013-01-13 04:45:00,6,480,3.05,-73.96537,40.761059,-73.917854,40.757401,4,Sunday
626,E721414E23BDCE6032A36E6F57CF7F4F,05110390948E1688AF8A796AC5583177,VTS,1,,2013-01-13 04:34:00,2013-01-13 04:41:00,1,420,1.19,-73.958122,40.713718,-73.95517,40.724472,4,Sunday
627,61F54249450649B22FCF456774A2F24F,FCFB17028A063DD01A48F83960DA1505,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:44:00,1,360,0.96,-73.98806,40.72271,-73.978134,40.729271000000004,4,Sunday
628,9AF97252D709D1F2F67C806348FED737,DE32C1A82C35A688CF0B89B4552F40A7,VTS,1,,2013-01-13 04:39:00,2013-01-13 04:45:00,1,360,1.27,-73.979378,40.723228000000006,-74.000824,40.741791,4,Sunday
629,AFC3C8A35864747865315F87FBC3172B,ABEA0A8456C488504A85A93180565107,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:44:00,4,780,2.74,-73.999336,40.733517,-74.00367,40.759243,4,Sunday
630,AD430EE39BBB70C317EF2509909FCC2B,D909C4B335EA4A0D89F74826A661B53F,VTS,1,,2013-01-13 04:28:00,2013-01-13 04:39:00,6,660,4.33,-74.000603,40.727173,-73.95784,40.765144,4,Sunday
631,3B1DD51648DEB1B7C11DCBDAC23A8FFB,7E5A80B9126C5B9323EEDD2D84094746,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:46:00,1,840,7.06,-73.951912,40.769199,-73.92482,40.857574,4,Sunday
632,30F1FD16CF979D5DF95162E0A414B424,C3D4D9115EF0AA570081E71013353D2A,VTS,1,,2013-01-13 04:40:00,2013-01-13 04:44:00,5,240,0.74,-73.995506,40.752959999999995,-73.984985,40.747971,4,Sunday
633,00891E0B23CDA09C34A4E9B91B46E8A6,A2846E055002B0A60C805B78C1360F9E,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:47:00,5,540,3.3,-73.973518,40.763599,-73.954369,40.786491,4,Sunday
634,9F1F27280ACE1C0159EAFB1A7FF03771,21E3C944652B3A305CCEBE8794D72F6D,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:46:00,1,120,0.43,-73.989052,40.743297999999996,-73.990471,40.74604,4,Sunday
635,2C670846028E78F7345219F305920E28,E928B163D8EE186661E6C52471B4B16D,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:49:00,1,420,2.54,-73.967598,40.756233,-73.946655,40.753201000000004,4,Sunday
636,203F59092282F76DAC9A81111901EF58,711947488A628488F83551F6C44892AA,VTS,1,,2013-01-13 04:22:00,2013-01-13 04:44:00,3,1320,11.72,-74.006699,40.738152,-73.917068,40.878189,4,Sunday
637,5F6578BAAA0EDE2889199AA3285864B0,388A63D6FFCE11E383A2DE1F23E8EE3F,VTS,1,,2013-01-13 04:36:00,2013-01-13 04:44:00,1,480,2.61,-73.983963,40.721088,-73.961502,40.713879,4,Sunday
